分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 100, IPv6: 0, 最小延迟: 1360 ms, 最高速率: 1.20 M/s, 平均速率: 0.89 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 99, IPv6: 0, 最小延迟: 34 ms, 最高速率: 28.48 M/s, 平均速率: 17.20 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 95, IPv6: 0, 最小延迟: 417 ms, 最高速率: 7.91 M/s, 平均速率: 2.50 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 86, IPv6: 0, 最小延迟: 347 ms, 最高速率: 8.87 M/s, 平均速率: 4.12 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 94, IPv6: 0, 最小延迟: 351 ms, 最高速率: 5.63 M/s, 平均速率: 2.59 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 327 ms, 最高速率: 2.70 M/s, 平均速率: 1.66 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 96, IPv6: 0, 最小延迟: 347 ms, 最高速率: 10.09 M/s, 平均速率: 4.54 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 86, IPv6: 0, 最小延迟: 353 ms, 最高速率: 3.56 M/s, 平均速率: 1.66 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 99, IPv6: 0, 最小延迟: 30 ms, 最高速率: 34.83 M/s, 平均速率: 14.44 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 91, IPv6: 0, 最小延迟: 333 ms, 最高速率: 3.79 M/s, 平均速率: 1.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 88, IPv6: 0, 最小延迟: 362 ms, 最高速率: 4.36 M/s, 平均速率: 1.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 83, IPv6: 0, 最小延迟: 50 ms, 最高速率: 20.74 M/s, 平均速率: 9.76 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 79, IPv6: 0, 最小延迟: 361 ms, 最高速率: 6.55 M/s, 平均速率: 2.82 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 90, IPv6: 0, 最小延迟: 433 ms, 最高速率: 10.30 M/s, 平均速率: 3.97 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 81, IPv6: 0, 最小延迟: 339 ms, 最高速率: 10.40 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 88, IPv6: 0, 最小延迟: 357 ms, 最高速率: 6.20 M/s, 平均速率: 2.66 M/s, 最高分辨率: 1920x1080
